State,Field,Year,Number_of_isolates,Number_of_Species,Long,Lat,Sampling_date,OTU,Chao,chao_lci,chao_hci,shannon,shannon_lci,shannon_hci,Precipitation,Temp
ARSO,ARSO_1,2011,320,13,-91.41639,34.46175,7-15-11,107,981.2,482.594,2141.7122,3.2835,3.0837,3.4832,137.73,24.44
IASO,IASO_1,2011,99,15,-91.53795,41.2519,N/A,37,163,78.5125,419.4388,2.8779,2.6162,3.1395,114,18.87
IASO,IASO_2,2011,23,9,-92.726578,41.741661,N/A,17,43,23.816,116.1789,2.7284,2.417,3.0397,102.67,17.73
IASO,IASO_3,2011,18,8,-93.005554,42.190556,N/A,13,28,16.5025,77.2401,2.4283,2.0548,2.8018,101.22,17.21
IASO,IASO_4,2011,49,9,-95.9576388,41.6472222,N/A,16,55,26.0886,166.7644,1.8868,1.5105,2.263,113.49,18.4
IASO,IASO_5,2011,50,9,-93.750664,40.856033,5-31-11,12,19,13.341,48.5405,1.7258,1.396,2.0555,121.1,18.2
IASO,IASO_6,2011,49,8,-93.755997,40.911884,5-31-11,11,39,18.4639,116.0383,1.54,1.2115,1.8686,126.9,18.24
IASO,IASO_7,2011,51,3,-93.755997,40.911884,5-31-11,8,11,8.3611,32.9256,1.6801,1.4626,1.8975,126.9,18.24
IASO,IASO_8,2011,10,5,-94.658363,42.558022,N/A,6,9,6.3913,28.9985,1.6094,1.1158,2.1031,89.01,16.98
IASO,IASO_9,2011,48,5,-92.599365,42.323597,N/A,19,41,24.5807,105.7277,2.4679,2.1585,2.7773,100.59,17.14
ILSO,ILSO_1,2011,64,13,-88.2266,40.0826,N/A,32,182,78.8074,512.693,3.0156,2.7414,3.2898,126.94,18.22
ILSO,ILSO_2,2011,11,5,-90.647362,40.911427,N/A,9,16,10.341,45.5405,2.1458,1.7386,2.5531,126.94,18.22
ILSO,ILSO_3,2011,31,8,-88.246117,37.710773,N/A,9,12.3333,9.5035,31.0699,1.5667,1.1664,1.9671,203.62,21.72
ILSO,ILSO_4,2011,46,8,-90.829399,39.566235,6-6-11,23,213,103.6357,470.6927,2.5916,2.244,2.9393,123.34,19.39
ILSO,ILSO_5,2011,31,11,-89.017937,39.066956,6-8-11,23,53.6,32.4964,121.6019,2.9955,2.7001,3.291,162.65,20.32
ILSO,ILSO_6,2011,61,11,-89.925323,38.90414,6-24-11,22,44.75,28.2781,104.4398,2.5302,2.2451,2.8153,134.66,21.19
INSO,INSO_1,2011,191,16,-86.887787,40.295979,6-6-11,57,304.5,150.112,714.8771,2.8133,2.5677,3.0588,133.12,18.95
INSO,INSO_2,2011,53,12,-87.108147,39.690048,6-6-11,24,119,52.1075,345.0887,2.4963,2.1368,2.8557,137.17,19.35
INSO,INSO_3,2011,57,12,-85.25756,40.42686,6-6-11,19,26,20.4519,52.7495,2.633,2.413,2.8529,106.01,18.8
INSO,INSO_4,2011,55,12,-85.74377,41.17093,6-6-11,15,60,28.6658,163.18,1.7503,1.3682,2.1325,118.14,17.8
INSO,INSO_5,2011,44,10,-87.12962,40.96223,7-7-11,17,83,39.113,213.9883,2.284,1.9435,2.6245,143.88,18.23
KSSO,KSSO_1,2011,46,4,-97.524033,39.9575,6-1-11,8,29,13.1544,93.5578,0.7226,0.334,1.1111,113.66,19.47
KSSO,KSSO_2,2011,48,7,-97.417747,39.958485,6-1-11,21,106.5,45.953,313.9606,1.9884,1.5156,2.4613,110.61,19.32
KSSO,KSSO_3,2011,12,6,-95.460251,39.34333,6-14-11,7,7.75,7.0666,15.4511,1.8637,1.5031,2.2242,106.98,20.94
KSSO,KSSO_4,2011,20,9,-96.363159,39.305515,6-20-11,9,10.5,9.1804,21.4739,1.9419,1.5649,2.3189,90.85,20.66
KSSO,KSSO_5,2011,44,14,-96.33259,39.3093,6-20-11,17,28,19.7439,61.0984,2.0377,1.6117,2.4637,92.34,20.69
KSSO,KSSO_6,2011,42,10,-95.584283,38.9715,6-21-11,15,30,18.5025,79.2401,2.1168,1.7672,2.4664,83.07,20.84
KSSO,KSSO_7,2011,4,4,-94.9395,38.82226,6-21-11,4,10,4.9802,40.7257,1.3863,0.7862,1.9864,90.45,20.91
MISO,MISO_1,2011,64,12,-86.5326,41.8304,6-1-11,17,44.5,23.6631,130.4982,2.1615,1.8866,2.4365,132.14,16.85
MISO,MISO_2,2011,12,8,-85.83563,42.62377,6-7-11,8,23,11.3128,75.9181,1.9356,1.4997,2.3715,142.38,16.73
MISO,MISO_3,2011,7,6,-84.02169,42.64894,6-13-11,6,11,6.7779,38.1391,1.7479,1.2481,2.2477,130.71,16.42
MISO,MISO_4,2011,29,8,-84.01416,42.65676,6-13-11,15,26.25,17.6522,62.7206,2.3835,2.0285,2.7384,129.03,16.42
MISO,MISO_5,2011,28,10,-84.505318,42.82752,6-13-11,13,35.5,18.2316,109.7672,2.0197,1.5742,2.4652,130.12,16.39
MISO,MISO_6,2011,2,2,-84.5132,42.87122,6-13-11,2,3,2.0811,14.3262,0.6931,0.0002,1.3861,130.14,16.34
MISO,MISO_7,2011,2,2,-84.78729,41.92546,6-13-11,2,3,2.0811,14.3262,0.6931,0.0002,1.3861,116.66,16.94
MISO,MISO_8,2011,37,9,-84.47189,42.7091,6-22-11,13,16,13.5015,30.9463,2.0231,1.6453,2.401,128.2,16.19
MISO,MISO_9,2011,9,5,-84.71992,42.88094,7-6-11,6,9,6.3913,28.9985,1.677,1.2076,2.1464,130.59,16.45
MNSO,MNSO_1,2011,34,8,-93.52993,44.06999,6-7-11,10,25,13.3012,78.1569,1.7115,1.3379,2.0852,124.57,15.73
MNSO,MNSO_2,2011,40,16,-94.720001,43.669998,6-17-11,30,105,55.0501,254.5501,3.2451,2.9761,3.5141,115.72,16.35
MNSO,MNSO_3,2011,40,5,-96.705704,46.644516,6-17-11,18,31.2,21.4433,68.6027,2.2637,1.8503,2.6772,85.24,14.93
MNSO,MNSO_4,2011,38,8,-96.697983,46.612751,6-17-11,26,141.5,61.0011,407.1383,3.01,2.6992,3.3208,85.24,14.93
MNSO,MNSO_5,2011,9,7,-95.30982,44.23949,6-27-11,8,18.5,10.0346,62.1881,2.0432,1.5944,2.492,118.71,16.24
MNSO,MNSO_6,2011,26,6,-93.18498,44.99129,N/A,9,14,9.7779,41.1391,1.7984,1.4419,2.1549,135.97,16.27
NDSO,NDSO_1,2011,14,5,-96.85973,46.95239,6-20-11,13,46,21.2815,144.4975,2.54,2.1743,2.9057,87.93,14.97
NDSO,NDSO_2,2011,15,7,-97.13871,47.49758,6-20-11,13,31.3333,17.4766,88.0814,2.5232,2.1675,2.8789,73.14,14.72
NDSO,NDSO_3,2011,7,5,-97.62389,47.95655,6-20-11,5,6,5.0936,15.6782,1.5498,1.0793,2.0203,75.65,13.61
NDSO,NDSO_4,2011,38,10,-96.81262,46.60153,6-20-11,19,45,25.816,118.1789,2.5998,2.2831,2.9165,85.61,14.89
NDSO,NDSO_5,2011,41,11,-97.10176,46.47071,6-20-11,24,100.5,45.9929,290.0974,2.9253,2.646,3.2045,90.55,15.02
NDSO,NDSO_6,2011,52,8,-97.28452,46.77463,6-29-11,10,17,11.341,46.5405,0.9699,0.5752,1.3646,80.1,14.58
NESO,NESO_1,2011,6,3,-96.458351,41.181892,6-8-11,5,8,5.3913,27.9985,1.5607,1.0299,2.0915,113.62,18.4
NESO,NESO_2,2011,19,9,-97.525444,40.204411,6-13-11,11,39,18.4639,116.0383,2.1873,1.8139,2.5607,105.3,19.11
NESO,NESO_3,2011,13,8,-97.50222,40.201389,6-13-11,10,24,12.9205,77.1121,2.2048,1.7948,2.6148,104.53,19.14
NESO,NESO_4,2011,37,16,-96.184525,41.784981,6-23-11,21,32,23.8848,62.9441,2.8849,2.6365,3.1333,115.9,18.4
WISO,WISO_1,2011,10,4,-90.788574,42.830189,6-6-11,7,22,10.3195,74.7823,1.7481,1.2073,2.2888,111.95,16.76
WISO,WISO_2,2011,36,3,-88.468056,42.770015,6-8-11,36,666,366.5983,1236.5505,3.5835,3.3558,3.8113,88.16,15.67
WISO,WISO_3,2011,14,7,-89.345266,43.302841,6-13-11,14,105,46.9557,265.277,2.6391,2.2821,2.996,81.82,15.42
WISO,WISO_4,2011,26,6,-89.535,44.11915,6-16-11,23,254,124.8792,546.7673,3.0448,2.7294,3.3602,103.46,15.04
WISO,WISO_5,2011,21,6,-90.102997,44.757461,6-16-11,21,231,111.9216,506.0332,3.0445,2.7494,3.3397,103.83,14.57
WISO,WISO_6,2011,6,4,-89.850502,44.850452,6-16-11,6,21,9.3268,73.6334,1.7918,1.2753,2.3083,101.78,14.22
ARSO2,ARSO2_1,2012,1,1,-91.281683,33.797317,5-10-12,1,1,0,0,0,0,0,68.1,24.21
ARSO2,ARSO2_2,2012,6,5,-91.420917,34.468583,5-10-12,5,8,5.3913,27.9985,1.5607,1.0299,2.0915,53.03,24.36
ARSO2,ARSO2_3,2012,21,10,-90.76485,34.729767,5-30-12,14,47,22.2815,145.4975,2.3299,1.8799,2.7798,50.2,24.19
ARSO2,ARSO2_4,2012,8,6,-90.076433,35.669367,5-31-12,6,11,6.7779,38.1391,1.7479,1.2481,2.2477,60.82,24.5
ARSO2,ARSO2_5,2012,22,10,-94.23246,35.39843,5-24-12,17,122,56.2793,297.6824,2.6892,2.3356,3.0428,57.4,24.97
ARSO2,ARSO2_6,2012,18,9,-94.165667,36.093833,7-2-12,13,40.5,19.6631,126.4982,2.3663,1.945,2.7876,47.46,23.1
IASO2,IASO2_1,2012,5,2,-94.3581,40.7041,5-15-12,5,15,6.9462,56.3816,1.6094,1.0551,2.1638,75.62,20.37
IASO2,IASO2_4,2012,13,4,-93.64588,41.984377,6-11-12,6,9,6.3913,28.9985,1.4105,0.8745,1.9466,73.12,19.7
IASO2,IASO2_5,2012,4,3,-94.7367,40.9929,6-19-12,4,10,4.9802,40.7257,1.3863,0.7862,1.9864,72.34,20.13
IASO2,IASO2_6,2012,2,2,-92.85313,41.07042,6-25-12,2,3,2.0811,14.3262,0.6931,0.0002,1.3861,59.42,20.12
ILSO2,ILSO2_1,2012,21,9,-88.7233,37.456067,5-17-12,18,58,29.3185,159.3609,2.8571,2.5466,3.1676,40.56,22.41
ILSO2,ILSO2_2,2012,30,9,-88.247283,37.82485,5-17-12,20,80,36.6538,236.1664,2.7769,2.4485,3.1054,42.08,22.66
ILSO2,ILSO2_3,2012,37,8,-88.957983,38.954383,5-18-12,20,33,23.5527,67.5689,2.6216,2.2664,2.9768,49,21.48
ILSO2,ILSO2_4,2012,28,10,-89.69643333,41.04861667,5-22-12,12,22.5,14.0346,66.1881,2.143,1.7913,2.4947,66.94,19.73
ILSO2,ILSO2_5,2012,26,12,-90.7321,39.84563333,5-23-12,12,33,17.1306,97.9556,2.2588,1.9544,2.5632,51.56,20.73
ILSO2,ILSO2_6,2012,7,4,-90.72341667,40.9329,5-29-12,6,11,6.7779,38.1391,1.7479,1.2481,2.2477,68.27,19.75
